product_key,SKU_number,product_description,package_type,package_size,size,color,brand,category,subcategory,department,manufacturer,weight,unit_of_measure,unit_price_base
21,ES000020,Page admit me pick job. Eight enter red.,Envelope,X-Large,XS,AntiqueWhite,Samsung,Electronics,Gaming,Electronics,Samsung,3032,g,944.61
22,BP000021,Number draw with into. If fly dark year region small close.,Bag,Small,L,OrangeRed,Penguin,Books,Educational,Books,Penguin,258,g,226.65
23,HI000022,Argue agency when debate both.,Box,Large,L,MediumBlue,IKEA,Home & Garden,Bedding,Home & Garden,IKEA,5949,g,51.62
24,HH000023,Successful stage chair. While keep law appear each.,Crate,Large,XS,DarkTurquoise,HomeDepot,Home & Garden,Garden Tools,Home & Garden,HomeDepot,12411,g,638.41
25,BR000024,Knowledge offer three to. Drive study no worker could week. Show city yourself project.,Box,Large,XS,DarkCyan,Random House,Books,Fiction,Books,Random House,1507,g,585.26
26,SU000025,Radio suffer foreign them mean begin. Coach technology risk.,Box,X-Large,XL,Coral,Under Armour,Sports,Exercise Equipment,Sports,Under Armour,5457,g,579.72
27,SU000026,Item final official hand until traditional world. Prepare individual computer matter.,Pallet,Medium,L,Azure,Under Armour,Sports,Sports Wear,Sports,Under Armour,2948,g,172.6
28,CU000027,Every analysis more value result serious. Walk attention gun policy contain wish.,Envelope,Small,XS,Indigo,Uniqlo,Clothing,Pants,Clothing,Uniqlo,432,g,171.79
29,HI000028,These which not have education main. Trade plan well attorney. Our may institution big man bag.,Box,Large,M,MediumTurquoise,IKEA,Home & Garden,Garden Tools,Home & Garden,IKEA,9400,g,75.62
30,TH000029,Exist address hotel clear type wall. Specific thought read produce.,Box,Small,XL,Violet,Hasbro,Toys,Outdoor Toys,Toys,Hasbro,1022,g,560.51
31,SN000030,Go program seven program look family across. Ago into over final example.,Crate,X-Large,XS,Purple,Nike,Sports,Team Sports,Sports,Nike,3726,g,89.57
32,TH000031,About current get before.,Crate,X-Large,XS,Azure,Hasbro,Toys,Educational Toys,Toys,Hasbro,2998,g,192.64
33,SN000032,Skin former imagine television business above station. Off poor final partner plant.,Box,Large,XS,ForestGreen,Nike,Sports,Sports Wear,Sports,Nike,2891,g,399.95
34,TM000033,System almost mean pattern film north. Hospital accept identify successful notice paper.,Box,X-Large,M,MediumBlue,Mattel,Toys,Board Games,Toys,Mattel,717,g,413.7
35,ED000034,Money each hope think level white. Center husband south hear.,Crate,X-Large,M,DarkKhaki,Dell,Electronics,Tablets,Electronics,Dell,3971,g,21.6
36,CZ000035,Science sell police rise. Thousand store company task trial small. Follow two stand arm view down.,Pallet,Small,XS,Chocolate,Zara,Clothing,Shirts,Clothing,Zara,224,g,163.1
37,EA000036,Something manager forget professional color investment. Remain story decade able become.,Box,Small,S,LightCoral,Apple,Electronics,Gaming,Electronics,Apple,3303,g,448.22
38,HI000037,Move first identify receive base.,Pallet,X-Large,N/A,SlateBlue,IKEA,Home & Garden,Kitchen,Home & Garden,IKEA,11965,g,808.33
39,SU000038,Long carry world wide. Customer year decision already role.,Bag,X-Large,XL,OrangeRed,Under Armour,Sports,Sports Wear,Sports,Under Armour,4894,g,291.7
40,HA000039,Generation second light across wife window. Performance brother tough.,Bag,Small,M,LightCyan,Ashley,Home & Garden,Kitchen,Home & Garden,Ashley,1650,g,357.04
41,SU000040,Individual claim that weight. Bring officer record friend wish.,Crate,Large,L,Brown,Under Armour,Sports,Exercise Equipment,Sports,Under Armour,9847,g,148.56
42,CU000041,Yourself industry person.,Envelope,Small,S,Olive,Uniqlo,Clothing,Pants,Clothing,Uniqlo,946,g,702.12
43,EL000042,Couple heart who college. Member sit station.,Envelope,Small,XL,DarkOliveGreen,LG,Electronics,Laptops,Electronics,LG,3333,g,781.6
44,SP000043,Television agency newspaper maintain whose sell specific. Gun player animal still surface.,Envelope,X-Large,M,LightCoral,Puma,Sports,Team Sports,Sports,Puma,3592,g,881.21
45,HA000044,Clearly everybody protect PM. Pretty consider physical.,Envelope,Medium,L,FloralWhite,Ashley,Home & Garden,Kitchen,Home & Garden,Ashley,12843,g,944.77
46,TH000045,Pm certain will world. Live performance rest give few.,Crate,X-Large,S,Snow,Hasbro,Toys,Action Figures,Toys,Hasbro,1985,g,552.23
47,CN000046,Form chair hair yet case. Pressure mouth see make Mr. Case easy ten should boy case indeed.,Box,Large,XS,LawnGreen,Nike,Clothing,Outerwear,Clothing,Nike,863,g,968.37
48,BL000047,Money ground decide live finish beautiful. However land today. Nor real out else form staff.,Bag,X-Large,XS,GoldenRod,L'Oreal,Beauty,Skincare,Beauty,L'Oreal,238,g,901.09
49,CN000048,Talk huge exactly business science including. Specific light seek. Seek agree follow a.,Envelope,Large,L,LightGreen,Nike,Clothing,Shoes,Clothing,Nike,519,g,253.34
50,CZ000049,Certainly candidate might your what happy. Ability fine movement sea age.,Crate,X-Large,S,MediumSpringGreen,Zara,Clothing,Dresses,Clothing,Zara,574,g,155.48
51,BL000050,Method card relationship over level who most.,Pallet,Large,N/A,Aqua,L'Oreal,Beauty,Skincare,Beauty,L'Oreal,160,g,379.36
52,SP000051,Subject in drive want son. Include away great research cover hear especially mother.,Crate,X-Large,N/A,Azure,Puma,Sports,Sports Wear,Sports,Puma,7385,g,842.85
53,CZ000052,"Pay condition effort though respond throughout.
Especially our page. Five parent work step.",Pallet,Medium,L,SeaShell,Zara,Clothing,Shirts,Clothing,Zara,485,g,41.87
54,BC000053,Affect say interview which. Place rule its bring. Recent rather often begin strong strategy.,Crate,Small,XL,DeepSkyBlue,Clinique,Beauty,Fragrance,Beauty,Clinique,454,g,859.69
55,EA000054,Process participant nor mission. Maintain describe continue into management including.,Bag,Small,L,SlateGray,Apple,Electronics,Laptops,Electronics,Apple,3780,g,216.42
56,BE000055,Per see building response picture. Cup president begin structure. Better customer TV.,Crate,X-Large,N/A,PapayaWhip,Estee Lauder,Beauty,Makeup,Beauty,Estee Lauder,418,g,449.33
57,TH000056,Hit family others wish high coach successful. Hand treat raise trip.,Pallet,Large,M,LightSalmon,Hasbro,Toys,Outdoor Toys,Toys,Hasbro,571,g,766.53
58,BR000057,Century sea remain. This election adult represent drug pass way.,Box,Large,L,FireBrick,Random House,Books,Educational,Books,Random House,802,g,906.07
59,HW000058,Concern challenge memory discuss. Get world build body. Reveal teach red authority fast.,Pallet,Medium,N/A,SeaShell,Wayfair,Home & Garden,Garden Tools,Home & Garden,Wayfair,701,g,236.05
60,TH000059,Note civil health style necessary cold. Very visit argue if. Sort all coach teacher.,Crate,X-Large,XL,PaleTurquoise,Hasbro,Toys,Board Games,Toys,Hasbro,754,g,460.98
61,SU000060,Live system head product. Focus finally ahead enter money.,Crate,Small,M,PaleTurquoise,Under Armour,Sports,Outdoor Gear,Sports,Under Armour,2355,g,923.45
62,BH000061,Moment teach accept minute guy kitchen forward glass. Building site move have century manager.,Box,X-Large,S,FloralWhite,HarperCollins,Books,Comics,Books,HarperCollins,202,g,251.79
63,TM000062,Break boy throw until fill study sound. Long answer price. Care reason economic bit gas.,Envelope,X-Large,M,LawnGreen,Mattel,Toys,Board Games,Toys,Mattel,703,g,731.59
64,BE000063,Specific environment talk. Story final each cost article. No spend peace.,Bag,Large,S,SeaShell,Estee Lauder,Beauty,Makeup,Beauty,Estee Lauder,138,g,78.02
65,EL000064,Really thus president owner hospital run. Song letter of economy PM. Affect past cut lose you.,Box,Large,N/A,Fuchsia,LG,Electronics,Accessories,Electronics,LG,4031,g,527.14
66,BH000065,Realize move poor son land. Hear adult energy expect picture participant. Finish fish start.,Bag,Medium,L,LightGreen,HarperCollins,Books,Educational,Books,HarperCollins,561,g,765.03
67,SP000066,Specific both pay. Most century according management cup. Bar value activity opportunity dinner.,Bag,Small,S,Turquoise,Puma,Sports,Sports Wear,Sports,Puma,7289,g,753.47
68,BE000067,Personal skill institution plan. Try wife kind old. Page mention four finish rest skill describe.,Bag,X-Large,S,Ivory,Estee Lauder,Beauty,Hair Care,Beauty,Estee Lauder,129,g,24.74
69,SA000068,Care avoid almost allow enter effect week. Nature event check charge which want political.,Envelope,X-Large,L,PowderBlue,Adidas,Sports,Team Sports,Sports,Adidas,7533,g,106.24
70,FK000069,Industry write him wrong. Continue little involve their trade election.,Pallet,Small,S,LightYellow,Kellogg's,Food,Specialty,Food,Kellogg's,1788,g,310.3
71,CN000070,Choose how body out across. Shake out space. Sometimes community nor.,Bag,Large,S,Peru,Nike,Clothing,Dresses,Clothing,Nike,969,g,596.73
72,SN000071,Machine wait deal security cut box. Prevent soon personal tonight.,Envelope,Small,XS,Thistle,Nike,Sports,Exercise Equipment,Sports,Nike,586,g,619.15
73,BR000072,East picture will western nearly. Help none claim evidence at boy.,Bag,Large,XS,Azure,Random House,Books,Comics,Books,Random House,1477,g,772.81
74,SP000073,Generation up light president. Guy seek discussion dark painting leader job.,Bag,Medium,XL,YellowGreen,Puma,Sports,Sports Wear,Sports,Puma,2724,g,392.5
75,BP000074,Song our place often spend her national. Determine black how stay particular exactly.,Bag,Medium,S,Turquoise,Penguin,Books,Educational,Books,Penguin,1367,g,420.16
76,CA000075,Think free money. Again management certainly its tell. For onto any parent natural wear.,Pallet,X-Large,L,SlateBlue,Adidas,Clothing,Accessories,Clothing,Adidas,235,g,44.65
77,SA000076,Study instead win. Administration perhaps about write full.,Envelope,Medium,S,YellowGreen,Adidas,Sports,Team Sports,Sports,Adidas,4427,g,569.38
78,ED000077,Treatment agency think answer miss them. Both strategy son under it than.,Bag,Small,XL,DarkCyan,Dell,Electronics,Laptops,Electronics,Dell,4551,g,77.02
79,BH000078,Assume someone church debate ask forget pass begin. Treat must whose enough.,Box,Medium,L,PaleVioletRed,HarperCollins,Books,Educational,Books,HarperCollins,1269,g,667.7
80,FG000079,Kind eye allow by. Push let degree Mr almost more fact.,Pallet,X-Large,N/A,LightYellow,General Mills,Food,Pantry,Food,General Mills,392,g,629.76
81,CN000080,Space inside think young movie meeting able soldier. Year who fill wait heavy job.,Envelope,Large,M,DarkSlateBlue,Nike,Clothing,Pants,Clothing,Nike,744,g,14.71
82,HA000081,Yet capital indicate. Able provide city pick surface environment feel.,Bag,Large,XS,DarkGray,Ashley,Home & Garden,Furniture,Home & Garden,Ashley,658,g,317.25
83,TL000082,Position try study develop throw. Marriage wife improve save tough stage carry.,Bag,Small,XL,Khaki,Lego,Toys,Action Figures,Toys,Lego,1994,g,494.86
84,CU000083,Service admit really quickly response whatever friend sea. Name property we.,Box,Small,L,LightCyan,Uniqlo,Clothing,Dresses,Clothing,Uniqlo,183,g,339.56
85,TF000084,Occur hospital worry today eye few. Test you system while. To sell under need.,Crate,X-Large,XS,Indigo,Fisher-Price,Toys,Board Games,Toys,Fisher-Price,1064,g,471.85
86,FG000085,Too provide choice market. Very offer magazine protect his story.,Envelope,Small,L,MidnightBlue,General Mills,Food,Beverages,Food,General Mills,1935,g,164.37
87,BP000086,Bad plant whose least writer color. Itself social day. Draw range big interest.,Envelope,Medium,L,MediumVioletRed,Penguin,Books,Fiction,Books,Penguin,755,g,65.5
88,TH000087,Scientist skin actually each meet artist story. Professional agree a newspaper region difficult.,Box,Large,N/A,PaleGoldenRod,Hasbro,Toys,Board Games,Toys,Hasbro,2669,g,737.25
89,HA000088,System year value fight. Trial per question increase popular.,Crate,Large,M,LightGray,Ashley,Home & Garden,Kitchen,Home & Garden,Ashley,18012,g,301.36
90,TM000089,Today sort inside range whom. Include senior camera before upon yeah.,Crate,Small,XS,Beige,Mattel,Toys,Educational Toys,Toys,Mattel,202,g,13.51
91,TH000090,President data listen plan.,Bag,X-Large,M,CornflowerBlue,Hasbro,Toys,Educational Toys,Toys,Hasbro,602,g,763.91
92,HA000091,Hundred staff assume will. Sense only source nature.,Pallet,Small,N/A,DarkBlue,Ashley,Home & Garden,Garden Tools,Home & Garden,Ashley,1946,g,522.01
93,BR000092,Knowledge enjoy amount baby certain. Million rule best eat.,Bag,Medium,S,RosyBrown,Random House,Books,Children,Books,Random House,945,g,681.44
94,TM000093,Wish choice strategy and interview quality. Seat argue standard theory stop.,Bag,X-Large,XS,DarkBlue,Mattel,Toys,Outdoor Toys,Toys,Mattel,2627,g,705.87
95,BC000094,Mr learn section staff boy people me. Occur involve believe such shoulder us myself.,Box,X-Large,XS,Snow,Clinique,Beauty,Makeup,Beauty,Clinique,327,g,651.23
96,BP000095,Ready wife we push event business budget. Image per system pattern camera career.,Bag,X-Large,M,CadetBlue,Penguin,Books,Children,Books,Penguin,595,g,673.71
97,CA000096,Tree could year civil. Green risk painting.,Envelope,Medium,XS,DarkOrchid,Adidas,Clothing,Shoes,Clothing,Adidas,460,g,988.84
98,CN000097,Actually writer need. Relate know ask along name example.,Box,Medium,S,OliveDrab,Nike,Clothing,Shoes,Clothing,Nike,321,g,894.49
99,HI000098,End past organization goal week reality single. Activity effect buy special energy east happy.,Pallet,Small,M,SteelBlue,IKEA,Home & Garden,Decor,Home & Garden,IKEA,17087,g,369.59
100,BH000099,Allow just what figure executive wind. Cut product letter former. Dark want follow.,Box,X-Large,XL,MediumSlateBlue,HarperCollins,Books,Children,Books,HarperCollins,1213,g,183.31
101,EL000100,Financial support very. Sing eye including common our.,Box,Large,S,DarkOrchid,LG,Electronics,Smartphones,Electronics,LG,4627,g,697.58
102,CU000101,Hand positive plan account act form. Defense on city firm behind speech message.,Pallet,X-Large,XL,Aqua,Uniqlo,Clothing,Accessories,Clothing,Uniqlo,738,g,588.86
103,BE000102,Tend after water thank main. But perhaps final meeting along technology. Including your offer.,Envelope,Medium,N/A,Lavender,Estee Lauder,Beauty,Skincare,Beauty,Estee Lauder,405,g,388.93
104,SP000103,Actually statement article movement.,Pallet,Large,M,Tomato,Puma,Sports,Team Sports,Sports,Puma,1279,g,881.14
105,HH000104,Price way hour deal. Trial word quickly type.,Bag,X-Large,S,Violet,HomeDepot,Home & Garden,Kitchen,Home & Garden,HomeDepot,6124,g,141.89
106,HI000105,War anyone home.,Pallet,Medium,L,MediumBlue,IKEA,Home & Garden,Kitchen,Home & Garden,IKEA,17449,g,299.76
107,SU000106,Building rock often story. One win far.,Bag,Small,L,Purple,Under Armour,Sports,Outdoor Gear,Sports,Under Armour,1770,g,338.8
108,CA000107,Change sport table who church. Size with capital guy agent collection use.,Box,X-Large,XS,Cyan,Adidas,Clothing,Shoes,Clothing,Adidas,665,g,736.79
109,CA000108,Data standard care when. Crime help son west radio serious east.,Bag,Large,N/A,LightPink,Adidas,Clothing,Shoes,Clothing,Adidas,347,g,415.94
110,SN000109,Sense level idea answer. Issue often research source. Strategy plan keep into.,Box,Medium,XS,SaddleBrown,Nike,Sports,Sports Wear,Sports,Nike,2168,g,528.29
111,BH000110,Summer nice interest matter dog. Wife itself they home land audience.,Envelope,X-Large,L,Coral,HarperCollins,Books,Non-Fiction,Books,HarperCollins,1810,g,937.47
112,FK000111,Enough close window. Drug while require director.,Bag,Medium,M,Orange,Kellogg's,Food,Snacks,Food,Kellogg's,1233,g,25.71
113,FG000112,Boy lay while manager. Indicate above subject difficult.,Pallet,Large,L,MidnightBlue,General Mills,Food,Specialty,Food,General Mills,1692,g,712.92
114,FN000113,Control past fall Mrs various.,Bag,Small,L,Yellow,Nestle,Food,Pantry,Food,Nestle,293,g,293.99
115,BM000114,Hour security provide bring create air wall. Move walk defense the cultural.,Box,X-Large,S,Olive,MAC,Beauty,Makeup,Beauty,MAC,143,g,476.72
116,HW000115,Fill other bad current tax. But environment success enjoy official eight news.,Box,Medium,M,LightGreen,Wayfair,Home & Garden,Bedding,Home & Garden,Wayfair,1649,g,641.71
117,SA000116,Officer record party however table network. Nothing career box role cover western.,Envelope,Medium,L,Gray,Adidas,Sports,Outdoor Gear,Sports,Adidas,8731,g,285.72
118,SN000117,"Class reason able behavior animal.
Medical safe threat where throw there. Spring news pay social.",Bag,X-Large,XL,Red,Nike,Sports,Team Sports,Sports,Nike,3803,g,691.37
119,CN000118,Nor herself cold cup. Risk cover peace. Population still their.,Envelope,Small,S,Olive,Nike,Clothing,Shirts,Clothing,Nike,555,g,766.25
120,BR000119,Their reality nature. Forget if write. Carry step phone similar.,Pallet,Small,N/A,DarkGray,Random House,Books,Comics,Books,Random House,1130,g,127.57
121,BL000120,Themselves public participant ever significant. Ready idea success easy knowledge establish.,Crate,Medium,XL,DeepPink,L'Oreal,Beauty,Makeup,Beauty,L'Oreal,386,g,313.85
122,BR000121,Republican simply third top by probably almost. Song church various financial poor wide space.,Box,Small,S,Maroon,Random House,Books,Comics,Books,Random House,1902,g,795.42
123,SA000122,"Four unit step prepare section serious nice. Recent political modern your.
While prepare our life.",Bag,X-Large,L,Ivory,Adidas,Sports,Exercise Equipment,Sports,Adidas,3295,g,893.38
124,FK000123,Throughout site popular forward run kid thousand. Development than run voice wife within painting.,Bag,Large,XS,Ivory,Kellogg's,Food,Pantry,Food,Kellogg's,1690,g,615.31
125,CN000124,"Prevent guess per he deal break recognize.
Bag person card room answer event already.",Envelope,Large,M,PaleGoldenRod,Nike,Clothing,Shoes,Clothing,Nike,274,g,913.22
126,EA000125,Charge go each tough. Prepare those poor only. Rise put they opportunity choose.,Crate,Large,S,SkyBlue,Apple,Electronics,Laptops,Electronics,Apple,3338,g,151.49
127,HI000126,Enjoy tree inside effect. Ask society him whom. Director school its window tend recent development.,Crate,Large,XS,Crimson,IKEA,Home & Garden,Bedding,Home & Garden,IKEA,16874,g,919.93
128,SA000127,Game structure data information Congress. Something including travel together.,Crate,Small,XS,Purple,Adidas,Sports,Exercise Equipment,Sports,Adidas,1533,g,977.57
129,TF000128,Yes deal during their north. Heart accept music. Argue style her. In system situation them.,Bag,Small,L,Plum,Fisher-Price,Toys,Action Figures,Toys,Fisher-Price,925,g,550.39
130,BP000129,Finish ever likely be create.,Envelope,Small,S,DarkRed,Penguin,Books,Comics,Books,Penguin,1289,g,981.47
131,TL000130,Use goal race light. Source type than forward lot agree. Risk character play couple special enjoy.,Pallet,X-Large,L,AliceBlue,Lego,Toys,Educational Toys,Toys,Lego,2345,g,26.24
132,HA000131,"Star number not benefit. Item light kid sign.
Leader stand past use later hard quite.",Crate,X-Large,M,PaleVioletRed,Ashley,Home & Garden,Kitchen,Home & Garden,Ashley,18550,g,340.74
133,TL000132,Once out future effort. Know see parent large allow everything.,Box,Large,S,Pink,Lego,Toys,Outdoor Toys,Toys,Lego,103,g,13.51
134,BE000133,Different mind include front senior. Local local table main long care writer how.,Envelope,X-Large,L,GhostWhite,Estee Lauder,Beauty,Makeup,Beauty,Estee Lauder,241,g,900.66
135,SA000134,Information stand democratic how theory join. Smile else behavior realize professional.,Box,Medium,L,AliceBlue,Adidas,Sports,Outdoor Gear,Sports,Adidas,4120,g,442.14
136,HW000135,Expert month price reach people. Parent tax read run eat condition deal.,Crate,X-Large,L,Tomato,Wayfair,Home & Garden,Furniture,Home & Garden,Wayfair,8206,g,330.59
137,BC000136,Fight cut friend early majority. Nor law letter face style cover.,Envelope,Medium,S,LightGoldenRodYellow,Clinique,Beauty,Makeup,Beauty,Clinique,380,g,311.89
138,SN000137,Hard turn drive analysis another star kind.,Crate,X-Large,XL,OliveDrab,Nike,Sports,Sports Wear,Sports,Nike,3900,g,588.72
139,CH000138,Such star sea. Wear something deep song nearly just ready.,Bag,X-Large,M,Orange,H&M,Clothing,Shirts,Clothing,H&M,413,g,180.05
140,BC000139,"Explain against hand church discussion. Appear save just base prove.
Add anyone exist ready test.",Box,Small,S,LightBlue,Clinique,Beauty,Hair Care,Beauty,Clinique,380,g,919.38
141,CN000140,Control real return quite laugh within. Animal always stock prove.,Box,Medium,S,Navy,Nike,Clothing,Pants,Clothing,Nike,287,g,269.99
142,SN000141,Summer least cup stock no. Body store arm million business space.,Bag,X-Large,S,Moccasin,Nike,Sports,Sports Wear,Sports,Nike,6507,g,663.72
143,CH000142,Store performance grow movie heart job. Recognize task human theory each.,Box,Medium,S,SkyBlue,H&M,Clothing,Shoes,Clothing,H&M,418,g,787.95
144,ES000143,At recently sign charge song rate.,Crate,Small,N/A,FloralWhite,Sony,Electronics,Audio,Electronics,Sony,342,g,265.94
145,BC000144,Only toward course down campaign. We hear let company.,Bag,Medium,XL,PowderBlue,Clinique,Beauty,Skincare,Beauty,Clinique,493,g,530.07
146,SA000145,Employee else teach. System notice eat phone.,Crate,Medium,XL,DarkGreen,Adidas,Sports,Sports Wear,Sports,Adidas,5631,g,915.06
147,BM000146,Mention cultural coach see high about. Address herself hit. Evening finally art.,Bag,Large,M,CornflowerBlue,MAC,Beauty,Skincare,Beauty,MAC,196,g,238.96
148,EA000147,Figure team hear question group sell provide.,Box,Small,M,Blue,Apple,Electronics,Gaming,Electronics,Apple,3073,g,82.83
149,SA000148,However every down under short process campaign. Standard resource standard still arrive.,Bag,Small,M,MidnightBlue,Adidas,Sports,Exercise Equipment,Sports,Adidas,4990,g,893.41
150,EA000149,Dog early hard floor generation several. Matter factor pick officer site.,Box,Small,N/A,IndianRed,Apple,Electronics,Gaming,Electronics,Apple,2831,g,689.58
151,ES000150,Partner send score common might message sense. Reveal feeling gun affect improve rise bag would.,Envelope,Medium,S,SlateBlue,Sony,Electronics,Audio,Electronics,Sony,4349,g,218.24
152,FK000151,Street idea cost any technology. Available pressure PM say.,Crate,Medium,XL,PowderBlue,Kraft,Food,Beverages,Food,Kraft,487,g,900.02
153,BP000152,Financial protect husband she popular. Phone trade more. Instead purpose involve.,Pallet,Large,S,FireBrick,Penguin,Books,Children,Books,Penguin,1219,g,494.03
154,FK000153,Individual already series others foreign pattern more. Media night who.,Pallet,X-Large,S,DeepPink,Kraft,Food,Specialty,Food,Kraft,608,g,455.0
155,SU000154,Heavy job response age. Bring official year stock discover lose. Sort water star four national.,Envelope,Large,XL,Turquoise,Under Armour,Sports,Exercise Equipment,Sports,Under Armour,7676,g,522.37
156,BE000155,Manage drop safe person. Open interview language economy rise year.,Envelope,Small,M,DarkSlateBlue,Estee Lauder,Beauty,Fragrance,Beauty,Estee Lauder,138,g,424.02
157,CH000156,Trade exist others individual news. Audience north yeah.,Crate,Small,M,LightGray,H&M,Clothing,Dresses,Clothing,H&M,835,g,183.34
158,BC000157,Charge exist nor drug listen much dream. Professional reflect whatever machine whom.,Pallet,Small,XL,DarkGoldenRod,Clinique,Beauty,Hair Care,Beauty,Clinique,355,g,630.74
159,BP000158,Prove situation why. We interest edge hard food.,Bag,Large,XS,SlateGray,Penguin,Books,Fiction,Books,Penguin,1371,g,316.8
160,ES000159,Much realize concern head production nearly. Phone share yet knowledge culture of.,Bag,Small,M,DarkMagenta,Samsung,Electronics,Gaming,Electronics,Samsung,3597,g,9.36
161,CZ000160,Recent last much. Moment particular state blood page. Day tell also exactly conference.,Box,Medium,XL,LightPink,Zara,Clothing,Accessories,Clothing,Zara,255,g,757.34
162,EL000161,Rest blood alone affect role how what. Remain north care.,Crate,Large,XS,Moccasin,LG,Electronics,Smartphones,Electronics,LG,2906,g,236.59
163,SP000162,On same money walk. Fund can charge practice sport standard available mean.,Crate,Medium,S,MediumSlateBlue,Puma,Sports,Sports Wear,Sports,Puma,5151,g,13.1
164,EL000163,Act firm list assume lay. Hospital share trade. Cold wrong bar level later husband.,Crate,X-Large,N/A,Chartreuse,LG,Electronics,Laptops,Electronics,LG,2872,g,382.71
165,SA000164,Recent left rule student parent camera successful Congress. Sister yes lot hope accept cultural.,Crate,X-Large,M,Chocolate,Adidas,Sports,Outdoor Gear,Sports,Adidas,4728,g,24.11
166,CH000165,Report car home. Play seek difference fine identify. Fish along of point bit.,Bag,Small,XS,DeepSkyBlue,H&M,Clothing,Shirts,Clothing,H&M,823,g,283.03
167,FK000166,Lot more read rest use city sound. Employee card investment whole star. Scene between already.,Bag,Large,M,Plum,Kraft,Food,Pantry,Food,Kraft,765,g,913.84
168,SP000167,Bed arrive check oil. American tend blood into audience east activity.,Pallet,Medium,N/A,OrangeRed,Puma,Sports,Team Sports,Sports,Puma,8434,g,124.86
169,FN000168,Recognize box smile level. Drive health moment discuss.,Pallet,Medium,M,DarkRed,Nestle,Food,Snacks,Food,Nestle,1960,g,696.46
170,SP000169,Doctor myself expert exactly phone style.,Box,Small,L,Silver,Puma,Sports,Team Sports,Sports,Puma,1291,g,119.75
171,BL000170,Industry foot world leave morning.,Crate,Medium,XS,OldLace,L'Oreal,Beauty,Makeup,Beauty,L'Oreal,257,g,493.81
