promotion_key,promotion_name,promotion_type,promotion_channel,promotion_desc,display_type,display_location,display_provider,promo_cost,promo_begin_date,promo_end_date
19,PROMO_PRESENT_18,DISCOUNT,EMAIL,Day red sister continue. Indicate start life want close individual million.,HEADER,HOME,FACEBOOK,1586.69,2024-10-14,2024-12-17
20,PROMO_HEART_19,BUNDLE,SMS,Again federal box available field size. According rather very choose phone receive.,HEADER,HOME,AFFILIATE,8104.92,2024-06-16,2024-08-01
21,PROMO_GUN_20,CASHBACK,PUSH,Network hard similar almost same court. Price land sort industry yeah order.,HEADER,CART,INTERNAL,1734.99,2024-04-19,2024-06-06
22,PROMO_DETERMINE_21,BOGO,EMAIL,Start yes with shake course. Mention car work fine control economy whose. On live help dream.,HEADER,CART,PARTNER,1068.51,2024-03-05,2024-03-16
23,PROMO_EITHER_22,FREESHIP,PUSH,Will dog deep majority fund newspaper husband. Can well remember.,SIDEBAR,HOME,INTERNAL,7169.59,2024-10-02,2024-12-08
24,PROMO_RELATE_23,CASHBACK,PUSH,Audience value step tree sing like. Strong sometimes figure including language.,POPUP,HOME,GOOGLE,6710.56,2024-06-14,2024-08-10
25,PROMO_NEED_24,CASHBACK,PUSH,Bag image environment. Usually hear player include player.,BANNER,PRODUCT,PARTNER,2643.86,2024-06-03,2024-06-07
26,PROMO_MATTER_25,BOGO,PUSH,Since student may impact cup. Amount movie garden able foot. Future either majority involve next.,POPUP,CATEGORY,FACEBOOK,1798.81,2024-11-14,2025-02-08
27,PROMO_BIT_26,BUNDLE,DISPLAY,Center democratic maybe audience risk. Modern billion her success.,FOOTER,CATEGORY,AFFILIATE,8059.86,2024-03-15,2024-04-19
28,PROMO_AND_27,BOGO,SOCIAL,"Any skill local off.
Improve care process seat. Stock truth young cut.",BANNER,CATEGORY,GOOGLE,3416.96,2024-06-02,2024-08-08
29,PROMO_TELEVISION_28,BOGO,DISPLAY,Senior we day seven senior cut true. Realize face speech. Imagine practice around on owner.,POPUP,PRODUCT,INTERNAL,4668.44,2024-04-28,2024-06-04
30,PROMO_SPEECH_29,BUNDLE,DISPLAY,Republican machine hold day window. A about kid whom last try.,FOOTER,CATEGORY,GOOGLE,2309.01,2024-11-23,2025-02-11
31,PROMO_EFFORT_30,DISCOUNT,SOCIAL,Side animal laugh choice nice understand other. Appear trouble understand person ball.,SIDEBAR,CATEGORY,AFFILIATE,3981.25,2024-05-18,2024-06-17
32,PROMO_CIVIL_31,BUNDLE,DISPLAY,Account show your author. Bank education before although.,HEADER,PRODUCT,FACEBOOK,9357.98,2024-09-02,2024-11-25
33,PROMO_TRADE_32,DISCOUNT,SMS,May music hour state people property. Crime administration race pull chair. Why thing peace local.,FOOTER,CART,GOOGLE,4053.51,2024-06-23,2024-07-29
34,PROMO_CHURCH_33,BUNDLE,DISPLAY,"Option off last then force. Risk alone even throw their.
Doctor quality west mention cell.",SIDEBAR,CATEGORY,FACEBOOK,2331.6,2024-11-02,2024-11-09
35,PROMO_SHOW_34,BOGO,DISPLAY,Treat writer contain effort. Past reality more past note man ask.,BANNER,CART,AFFILIATE,9547.67,2024-06-21,2024-08-13
36,PROMO_TEND_35,DISCOUNT,SMS,Position woman well design ball natural loss. One sound way important executive spend.,HEADER,CATEGORY,PARTNER,9099.92,2024-10-04,2024-12-09
37,PROMO_FIVE_36,DISCOUNT,SOCIAL,Exactly very field before but our. Game meet art ok boy not history. Really young finally middle.,FOOTER,CART,INTERNAL,4954.53,2024-09-14,2024-11-14
38,PROMO_BOARD_37,BUNDLE,DISPLAY,Successful party next sell attorney. But card knowledge would.,SIDEBAR,CATEGORY,AFFILIATE,7827.23,2024-01-31,2024-04-17
39,PROMO_WOULD_38,BUNDLE,DISPLAY,Pattern once property meet. Woman pick once. Rest fire study Mrs story.,FOOTER,HOME,GOOGLE,3484.94,2024-11-23,2025-01-30
40,PROMO_BETTER_39,FREESHIP,SMS,Before actually relationship drive. Break teacher yeah car ask coach walk upon.,SIDEBAR,CATEGORY,INTERNAL,2508.75,2024-06-18,2024-07-16
41,PROMO_RAISE_40,CASHBACK,EMAIL,"Democrat let network. Natural glass put test.
Education order man Mr. Air management call.",BANNER,PRODUCT,AFFILIATE,8076.38,2024-11-14,2025-01-22
42,PROMO_IMAGINE_41,DISCOUNT,SMS,Art air dream. Grow break position college. Lead though at popular.,HEADER,HOME,AFFILIATE,4199.5,2024-01-16,2024-03-24
43,PROMO_ARM_42,BUNDLE,SOCIAL,Usually us church its. Customer guy history mouth surface least fine.,HEADER,PRODUCT,AFFILIATE,2145.44,2024-02-23,2024-03-18
44,PROMO_TOTAL_43,FREESHIP,PUSH,Crime member knowledge. Accept expert price indicate physical mean. Hundred already century option.,FOOTER,CATEGORY,AFFILIATE,9462.3,2024-07-21,2024-09-10
45,PROMO_CAUSE_44,BUNDLE,DISPLAY,"Front hope significant information need company.
Affect face enjoy commercial perhaps success walk.",FOOTER,PRODUCT,FACEBOOK,297.36,2024-07-04,2024-07-19
46,PROMO_CENTER_45,BOGO,DISPLAY,Type talk already most not truth. Four organization room year majority.,POPUP,CATEGORY,AFFILIATE,4629.76,2024-05-12,2024-05-15
47,PROMO_EASY_46,CASHBACK,SOCIAL,Might sea describe shake sea scientist. Art entire heart whatever who report national.,SIDEBAR,HOME,INTERNAL,4307.98,2024-02-13,2024-05-10
48,PROMO_GET_47,FREESHIP,SMS,Present society interest lay commercial senior let whole. Off go Congress seek they.,HEADER,HOME,INTERNAL,5768.35,2024-06-01,2024-06-21
49,PROMO_CALL_48,CASHBACK,SMS,Billion note beautiful maybe three close ok west. Instead set even bag building.,POPUP,PRODUCT,FACEBOOK,3440.01,2024-07-07,2024-10-04
50,PROMO_TREE_49,DISCOUNT,PUSH,Tonight her my fine science environmental. Lose white maybe hundred over fire. Statement age ago.,FOOTER,PRODUCT,PARTNER,4634.34,2024-04-19,2024-07-05
51,PROMO_ACT_50,DISCOUNT,SOCIAL,Special especially miss example firm live must. Raise operation military leave.,FOOTER,CART,AFFILIATE,653.58,2024-01-25,2024-03-06
52,PROMO_SUPPORT_51,CASHBACK,PUSH,Money position reduce Mr. Design adult at something image attack.,FOOTER,CART,INTERNAL,8991.47,2024-12-02,2025-01-16
53,PROMO_HELP_52,CASHBACK,SMS,Send deal Mrs shoulder style. Then through skill friend. Again field level.,BANNER,HOME,PARTNER,6129.31,2024-07-22,2024-10-03
54,PROMO_WONDER_53,BOGO,SMS,Be method future bit hundred claim almost. Available together trouble final few cell determine.,POPUP,PRODUCT,FACEBOOK,2903.93,2024-07-08,2024-07-08
55,PROMO_PART_54,DISCOUNT,DISPLAY,Your later through tax not test. Management yet reveal skill expert. Not admit key card force.,SIDEBAR,CART,FACEBOOK,8860.0,2024-05-13,2024-07-25
56,PROMO_CARD_55,CASHBACK,DISPLAY,Food black life away hot. Speak program fish maybe for opportunity condition.,HEADER,PRODUCT,INTERNAL,7748.27,2024-09-01,2024-10-20
57,PROMO_HERSELF_56,BOGO,SMS,Total sure military be police matter. Team open economy also behind few recognize.,FOOTER,PRODUCT,GOOGLE,275.59,2024-06-24,2024-07-23
58,PROMO_HERE_57,FREESHIP,SMS,Yes media lay. Wife other mind reduce.,FOOTER,PRODUCT,FACEBOOK,9393.42,2024-01-15,2024-02-02
59,PROMO_GUY_58,CASHBACK,EMAIL,Six real herself so cut everything. I let method tonight seat hit federal evening.,BANNER,CATEGORY,FACEBOOK,7991.29,2024-10-21,2024-12-17
60,PROMO_GIVE_59,BOGO,SOCIAL,Dark none between. Serious man arm music article. Food machine economy Congress card.,FOOTER,CART,INTERNAL,4973.52,2024-05-30,2024-06-11
61,PROMO_BACK_60,DISCOUNT,EMAIL,Our add share work number project. Rise dream wife carry very.,SIDEBAR,CART,INTERNAL,9691.51,2024-08-28,2024-09-24
62,PROMO_SKILL_61,DISCOUNT,PUSH,Feel only court late total impact check. Property however people there.,POPUP,HOME,GOOGLE,2137.6,2024-07-31,2024-08-11
63,PROMO_POLITICAL_62,FREESHIP,EMAIL,Quickly rule where manager. Child friend floor future. Born wrong none.,FOOTER,PRODUCT,GOOGLE,5335.28,2024-05-14,2024-07-13
64,PROMO_PERFORM_63,BUNDLE,DISPLAY,Analysis away six.,FOOTER,CART,INTERNAL,3719.64,2024-07-19,2024-09-06
65,PROMO_MEASURE_64,CASHBACK,PUSH,Moment training race read up. Only huge able capital fast.,FOOTER,CART,PARTNER,5745.94,2024-09-22,2024-09-29
66,PROMO_BEHIND_65,BUNDLE,EMAIL,Scene notice raise debate. Oil challenge perhaps card card three.,POPUP,CATEGORY,AFFILIATE,5391.29,2024-07-29,2024-08-11
67,PROMO_GROUP_66,FREESHIP,PUSH,Growth early positive drug rate truth build. Among first country across health.,POPUP,CART,INTERNAL,1152.77,2024-05-13,2024-06-15
68,PROMO_FRONT_67,FREESHIP,DISPLAY,"Maybe girl rest relate able never time century. Record election property.
Role then around how.",FOOTER,PRODUCT,AFFILIATE,547.14,2024-08-20,2024-10-29
69,PROMO_ITS_68,FREESHIP,SOCIAL,Marriage responsibility notice industry. Country bag first series father rate born.,SIDEBAR,PRODUCT,GOOGLE,5643.79,2024-01-31,2024-04-10
70,PROMO_WORD_69,DISCOUNT,PUSH,Should past night above father.,HEADER,CART,INTERNAL,338.92,2025-01-16,2025-02-06
71,PROMO_BLOOD_70,BUNDLE,SOCIAL,Executive my yes fish continue.,FOOTER,PRODUCT,PARTNER,6877.59,2024-05-03,2024-07-07
72,PROMO_VARIOUS_71,FREESHIP,EMAIL,Level fast word artist meet leg. Back official let need TV. Amount assume yes find meet expert.,POPUP,HOME,PARTNER,6647.56,2024-02-01,2024-03-17
73,PROMO_SEEM_72,BOGO,DISPLAY,My computer consider none. Someone main concern. State success pick.,FOOTER,HOME,GOOGLE,8014.64,2024-02-11,2024-04-11
74,PROMO_REASON_73,CASHBACK,DISPLAY,Hit world deep exactly career between agency activity. Recently oil whose mother.,POPUP,CART,PARTNER,8325.87,2024-08-23,2024-09-02
75,PROMO_NOTICE_74,BUNDLE,SMS,Drug draw garden medical. Face whole sign size station if ever.,HEADER,CATEGORY,GOOGLE,2574.31,2024-12-17,2025-02-22
76,PROMO_CHECK_75,BOGO,EMAIL,"Keep hold red develop.
Couple whom including threat exactly back off. Hold point century.",FOOTER,HOME,INTERNAL,5637.41,2024-12-22,2025-03-06
77,PROMO_ARRIVE_76,FREESHIP,SMS,Piece enjoy home final work information fast. Street author among some on gun hair.,HEADER,CATEGORY,INTERNAL,3288.44,2024-09-22,2024-12-02
78,PROMO_INVOLVE_77,BUNDLE,DISPLAY,Beat common four especially throw. First section dream official event view remember.,BANNER,HOME,INTERNAL,4757.14,2024-02-14,2024-04-13
79,PROMO_SIMPLY_78,FREESHIP,DISPLAY,Billion room either maintain consider every. Break research while part indeed including there.,SIDEBAR,CATEGORY,PARTNER,3826.1,2024-11-21,2024-11-28
80,PROMO_IMPROVE_79,CASHBACK,EMAIL,Word sure while. Off staff blue new. Method quality while medical parent life staff.,POPUP,PRODUCT,PARTNER,6386.48,2024-07-22,2024-07-28
81,PROMO_DAUGHTER_80,BOGO,SOCIAL,Amount personal yard few. Source gas class center run.,POPUP,HOME,INTERNAL,1394.88,2024-02-19,2024-02-23
82,PROMO_HOTEL_81,DISCOUNT,SMS,Idea accept able. Person product until. Room prevent require upon.,FOOTER,PRODUCT,INTERNAL,6352.74,2024-03-18,2024-03-23
83,PROMO_THROUGHOUT_82,BOGO,DISPLAY,Activity past fine leader evening will respond. Second bar five list seven perhaps.,BANNER,CART,AFFILIATE,827.74,2024-08-28,2024-09-25
84,PROMO_KNOW_83,CASHBACK,SMS,Contain as surface PM message run mind.,FOOTER,HOME,INTERNAL,8653.24,2024-11-19,2024-11-23
85,PROMO_RESPONSIBILITY_84,FREESHIP,SMS,Care author board western order size. Imagine size central fill.,SIDEBAR,HOME,FACEBOOK,9374.84,2024-02-20,2024-05-05
86,PROMO_ESTABLISH_85,BOGO,SMS,Program moment prevent paper. Store who significant first property. Third lead choose ok.,FOOTER,CART,PARTNER,2264.28,2024-11-20,2024-12-06
87,PROMO_ESPECIALLY_86,DISCOUNT,PUSH,Situation cultural class we discover. Inside better however. Total let through develop job.,POPUP,HOME,AFFILIATE,1106.1,2024-09-16,2024-11-12
88,PROMO_YOUNG_87,BUNDLE,SOCIAL,Create notice protect response involve. Cultural only news. Establish become sell shoulder tend.,HEADER,HOME,INTERNAL,1504.92,2024-11-06,2025-01-21
89,PROMO_BENEFIT_88,DISCOUNT,SOCIAL,Explain minute store anyone into. Where animal nearly less tell resource. Kind deal pass high.,POPUP,HOME,PARTNER,9645.89,2024-03-18,2024-06-06
90,PROMO_DINNER_89,DISCOUNT,DISPLAY,Require like image political catch project section. Material social also forget job box many.,BANNER,CATEGORY,INTERNAL,429.02,2024-04-27,2024-05-07
91,PROMO_ALSO_90,CASHBACK,SMS,Maybe building training high.,HEADER,HOME,FACEBOOK,6091.97,2024-05-24,2024-06-24
92,PROMO_CALL_91,CASHBACK,PUSH,Wish series let music section. Include wide a listen without catch worker.,BANNER,HOME,FACEBOOK,555.54,2024-10-23,2024-10-28
93,PROMO_HISTORY_92,BUNDLE,DISPLAY,Life exactly really three rule class moment local. Challenge despite career leader.,HEADER,HOME,GOOGLE,7448.0,2024-12-24,2025-01-18
94,PROMO_PROGRAM_93,FREESHIP,PUSH,"Factor course return media.
Exist great involve analysis before. Concern data head stay.",POPUP,CART,AFFILIATE,660.6,2024-03-17,2024-04-23
95,PROMO_THREE_94,CASHBACK,DISPLAY,Manager open expert other general statement current line. Oil ball democratic walk.,FOOTER,CART,INTERNAL,2200.41,2024-11-23,2024-12-30
96,PROMO_MANY_95,CASHBACK,SOCIAL,Computer toward ok possible eat. Tend quickly listen major grow each.,POPUP,CART,PARTNER,6092.72,2024-11-26,2025-02-10
97,PROMO_NATURE_96,FREESHIP,EMAIL,Beautiful fast expert alone allow some for above. Fall number citizen official.,BANNER,CART,FACEBOOK,1064.81,2024-03-04,2024-04-07
98,PROMO_COVER_97,BUNDLE,PUSH,Visit while recognize how ten seven his.,SIDEBAR,CART,PARTNER,7590.15,2024-07-04,2024-07-20
99,PROMO_WITH_98,BOGO,SMS,But fund because. Hold traditional because.,BANNER,PRODUCT,GOOGLE,2518.73,2024-11-07,2025-01-17
100,PROMO_BODY_99,DISCOUNT,PUSH,Determine sure season many generation. Evidence loss rich thus number possible.,HEADER,CART,FACEBOOK,3976.6,2024-10-01,2024-10-20
