website_key,website_name,website_url,website_type,website_category,website_description,navigation_urls,banner_name,tool_bar,number_of_products_per_page,search_available,site_placement
36,"Frazier, Allen and Harvey Market",http://cole.net/,E-commerce,Sports,"Member material fast out name. Rich beat six particular skin action everybody. Hour front choose view that.
Purpose right north simply. Top fill approach join set. Society ask case account.","/nav1,/nav2,/nav3",banner_36,Y,24,Y,Top
37,Wright Inc Outlet,https://moore.com/,Marketplace,Clothing,After example treat yes subject manage audience scene. These student crime society difference senior main decide.,"/nav1,/nav2,/nav3",banner_37,Y,24,Y,Top
38,"Mata, Holloway and Le Market",https://www.myers.org/,E-commerce,Clothing,Campaign present cold husband response. Dark experience detail community week beat produce. Drive responsibility eat today.,"/nav1,/nav2,/nav3",banner_38,Y,48,Y,Standard
39,"Hutchinson, Ortiz and Jordan Outlet",http://hall.com/,Corporate,Sports,"End benefit reach.
Attorney want spend church. We production for no. High industry also drive.","/nav1,/nav2,/nav3",banner_39,Y,12,Y,Featured
40,"Nguyen, Jones and Lawrence Market",http://www.williams-moore.com/,Blog,Home & Garden,"Space compare enter around different behind partner read. Life add treatment material get.
Medical end cost Congress. According marriage lot movie.","/nav1,/nav2,/nav3",banner_40,N,24,Y,Featured
41,Woods-Logan Shop,https://bennett.net/,Marketplace,Clothing,"Part modern better find. Institution relate around. Blue early our apply article you never.
Wonder information half myself.","/nav1,/nav2,/nav3",banner_41,Y,48,N,Featured
42,Hansen-Garcia Market,https://www.howard.com/,E-commerce,Home & Garden,"Continue then act one main decide. Young hard establish size high scene fact become.
Thousand make out really live. Eat sit stage.","/nav1,/nav2,/nav3",banner_42,Y,12,Y,Standard
43,Leon-Phillips Store,https://gomez.biz/,Blog,Home & Garden,"Tree yes expect there. Language beat step want them sister. Large picture statement we.
Page conference miss change.","/nav1,/nav2,/nav3",banner_43,Y,36,Y,Top
44,"Morris, Randall and Wells Outlet",http://payne-rodriguez.org/,Corporate,Sports,"Big finish drug heavy.
Oil return moment resource or blue act. View describe question receive raise remain. Maybe short model. Pick will part usually kind.","/nav1,/nav2,/nav3",banner_44,Y,48,Y,Standard
45,Walters-Guzman Store,http://www.stewart-henderson.net/,Corporate,Home & Garden,Approach law effect Mr even environment. Drive and return few. Approach physical citizen particular relationship.,"/nav1,/nav2,/nav3",banner_45,Y,36,Y,Standard
46,"Morrison, Baker and Combs Store",https://ryan-powell.com/,Corporate,Clothing,"Action own forget message. Set old ever hot check. Yeah ten describe popular vote. Detail matter term meet.
Above scientist camera play morning decide choice. Recent occur front send south test.","/nav1,/nav2,/nav3",banner_46,N,60,Y,Top
47,Thompson Inc Outlet,http://www.baker.com/,Blog,Home & Garden,Life industry color maybe travel scientist in offer. Half night turn at value meet. Cause however join.,"/nav1,/nav2,/nav3",banner_47,Y,24,Y,Featured
48,Mitchell PLC Store,https://eaton.com/,E-commerce,Clothing,Ability again indicate sing piece machine mother. Friend several however small between way tough.,"/nav1,/nav2,/nav3",banner_48,N,12,Y,Standard
49,Thomas PLC Store,https://neal.net/,Marketplace,Books,Share people provide power relationship. Carry fast condition upon safe center evening.,"/nav1,/nav2,/nav3",banner_49,Y,48,Y,Featured
50,Lee Inc Shop,https://www.duncan-valencia.biz/,Blog,Sports,"Site box answer four. Sea alone yourself by early meeting line.
War risk though than man sister crime live. Smile full message hear center he court. Magazine case wind exactly whom serve.","/nav1,/nav2,/nav3",banner_50,Y,12,Y,Standard
