product_id,product_name,category,subcategory,brand,base_price,supplier,is_active,valid_from
111,KitchenAid Decor Rise,Home & Kitchen,Decor,KitchenAid,972.72,Stafford Inc,1,2024-08-30
112,Under Armour Sweaters Large,Clothing,Sweaters,Under Armour,78.16,Thompson Ltd,1,2024-02-10
113,Lenovo Laptops Majority,Electronics,Laptops,Lenovo,291.03,Grant Inc,0,2023-12-24
114,HarperCollins Children Cell,Books,Children,HarperCollins,493.32,Contreras-Travis,1,2024-04-10
115,Puma Footwear Free,Sports,Footwear,Puma,294.6,Salazar-Ball,0,2024-01-31
116,Samsung Cameras Last,Electronics,Cameras,Samsung,900.53,"Griffin, Moore and Hensley",0,2023-12-19
117,H&M Jackets Event,Clothing,Jackets,H&M,813.41,Larsen LLC,1,2024-08-20
118,Zara Dresses Star,Clothing,Dresses,Zara,255.59,"Washington, Allen and Gonzales",1,2024-07-11
119,Under Armour Jackets Feeling,Clothing,Jackets,Under Armour,913.57,Nelson LLC,1,2024-11-27
120,Ninja Bedding Now,Home & Kitchen,Bedding,Ninja,812.5,Taylor and Sons,0,2023-10-28
121,HP Headphones Rule,Electronics,Headphones,HP,491.71,Mccarthy Inc,1,2023-11-22
122,Reebok Equipment Involve,Sports,Equipment,Reebok,763.0,Daniels-Perry,0,2023-06-13
123,H&M T-shirts There,Clothing,T-shirts,H&M,707.44,Price-Carrillo,0,2024-06-27
124,H&M T-shirts Again,Clothing,T-shirts,H&M,585.3,"James, Smith and Bell",1,2024-08-11
125,Simon & Schuster Fiction In,Books,Fiction,Simon & Schuster,333.3,Medina-Navarro,0,2024-09-16
126,Penguin Technology Player,Books,Technology,Penguin,962.6,Freeman LLC,1,2023-12-08
127,Dell Laptops Mention,Electronics,Laptops,Dell,661.46,Price Ltd,1,2024-06-14
128,H&M Jackets Success,Clothing,Jackets,H&M,827.84,Ramsey-Pittman,0,2024-12-18
129,Zara T-shirts Care,Clothing,T-shirts,Zara,264.48,"Ferguson, Meadows and Vargas",1,2024-06-01
130,Asus Cameras Agreement,Electronics,Cameras,Asus,889.75,Day and Sons,1,2024-11-07
131,L'Oreal Makeup Main,Beauty,Makeup,L'Oreal,700.39,Williams Group,1,2023-09-15
132,Macmillan Children Development,Books,Children,Macmillan,710.05,Murphy-Juarez,0,2023-10-25
133,Maybelline Personal Care Fall,Beauty,Personal Care,Maybelline,429.44,King-Miller,0,2023-01-19
134,Samsung Cameras So,Electronics,Cameras,Samsung,749.45,"Williams, Crane and Walker",1,2023-02-26
135,Puma Footwear Statement,Sports,Footwear,Puma,151.24,"Williams, Johnson and Wright",1,2024-10-16
136,Puma Footwear Again,Sports,Footwear,Puma,339.91,"Hernandez, Martinez and Caldwell",0,2024-03-17
137,Puma Equipment Yourself,Sports,Equipment,Puma,52.82,Marshall LLC,1,2024-08-21
138,Asus Smartwatches Home,Electronics,Smartwatches,Asus,956.06,Obrien Ltd,0,2024-07-14
139,Zara Sweaters Building,Clothing,Sweaters,Zara,385.46,Oconnell Inc,1,2024-03-28
140,Penguin Fiction Agree,Books,Fiction,Penguin,300.39,Johnston-Odonnell,0,2023-10-22
141,L'Oreal Skincare Industry,Beauty,Skincare,L'Oreal,481.63,"Gonzalez, Vargas and Rivas",0,2023-07-11
142,KitchenAid Small Appliances Blue,Home & Kitchen,Small Appliances,KitchenAid,797.41,"Barton, Jefferson and Burke",0,2023-04-08
143,LG Gaming Consoles Style,Electronics,Gaming Consoles,LG,332.17,"Patton, Reed and Patterson",0,2023-10-18
144,HarperCollins Children Authority,Books,Children,HarperCollins,960.44,"Holland, Smith and Fisher",1,2024-01-19
145,HP Laptops Born,Electronics,Laptops,HP,996.38,Yu-Reid,0,2024-10-08
146,HP Cameras Machine,Electronics,Cameras,HP,40.22,"Hernandez, Thompson and Boyd",1,2024-05-23
147,Adidas Sweaters Expect,Clothing,Sweaters,Adidas,134.61,"Morton, Medina and Webb",1,2023-12-08
148,Sony Gaming Consoles That,Electronics,Gaming Consoles,Sony,920.07,"Vargas, Morris and Sanchez",1,2024-12-29
149,Cuisinart Small Appliances Before,Home & Kitchen,Small Appliances,Cuisinart,807.92,Keith-Sanchez,1,2023-12-30
150,HarperCollins Children Over,Books,Children,HarperCollins,500.79,"Barnett, Rogers and Snyder",0,2023-09-13
151,Maybelline Personal Care Court,Beauty,Personal Care,Maybelline,640.66,Lewis-Salinas,0,2023-09-25
152,Dell Smartwatches Far,Electronics,Smartwatches,Dell,458.18,"Haynes, Hill and Smith",0,2023-06-01
153,L'Oreal Haircare Bed,Beauty,Haircare,L'Oreal,465.79,Cortez Group,1,2024-03-10
154,LG Tablets Son,Electronics,Tablets,LG,426.54,Vaughn Ltd,0,2024-07-09
155,Dove Fragrances Military,Beauty,Fragrances,Dove,843.42,Mcguire-Davis,1,2023-06-25
156,Estee Lauder Fragrances Interview,Beauty,Fragrances,Estee Lauder,463.42,"Sanchez, Beck and Wood",0,2024-03-08
157,Simon & Schuster Science Nice,Books,Science,Simon & Schuster,106.02,Coleman-Reese,0,2023-09-17
158,Adidas Sweaters He,Clothing,Sweaters,Adidas,392.36,"Chavez, Parker and Hall",0,2024-07-17
159,Zara Shoes Data,Clothing,Shoes,Zara,471.92,Wilson-Herrera,0,2024-08-18
160,Adidas Equipment Road,Sports,Equipment,Adidas,17.66,Lee Ltd,1,2024-01-15
161,Maybelline Personal Care Factor,Beauty,Personal Care,Maybelline,451.79,"Lawrence, Wolf and Carlson",1,2023-03-23
162,Random House Technology There,Books,Technology,Random House,412.07,Phillips LLC,1,2023-05-23
163,Apple Cameras Five,Electronics,Cameras,Apple,896.31,Erickson and Sons,1,2023-08-05
164,Macmillan Science Answer,Books,Science,Macmillan,841.74,Tran Ltd,0,2023-04-12
165,L'Oreal Makeup Pull,Beauty,Makeup,L'Oreal,449.52,Garcia-Smith,0,2023-08-12
166,Cuisinart Bedding Manager,Home & Kitchen,Bedding,Cuisinart,766.56,Alexander-Lopez,1,2023-02-12
167,LG Gaming Consoles Entire,Electronics,Gaming Consoles,LG,138.15,Wilson-Jones,1,2024-01-20
168,H&M Dresses Back,Clothing,Dresses,H&M,982.22,"Soto, Brown and Hernandez",0,2024-03-16
169,H&M Jeans Fly,Clothing,Jeans,H&M,500.0,Mcknight Inc,0,2024-03-12
170,Samsung Smartphones South,Electronics,Smartphones,Samsung,579.3,Obrien-Gibbs,0,2023-06-28
171,Adidas T-shirts Stand,Clothing,T-shirts,Adidas,29.49,"James, Kerr and Evans",0,2024-04-05
172,Puma Accessories Laugh,Sports,Accessories,Puma,209.0,Carroll-Brown,0,2024-07-31
173,Reebok Nutrition Bit,Sports,Nutrition,Reebok,863.47,Garrett LLC,1,2024-05-30
174,LG Headphones Beat,Electronics,Headphones,LG,761.3,Allen PLC,1,2023-03-03
175,MAC Personal Care Close,Beauty,Personal Care,MAC,359.46,Ortiz Ltd,0,2024-04-09
176,HomeDepot Storage Many,Home & Kitchen,Storage,HomeDepot,770.09,Johnson-Roberts,0,2023-08-11
177,Lenovo Cameras Scientist,Electronics,Cameras,Lenovo,216.58,Jones-Hall,0,2023-07-28
178,Zara Activewear Store,Clothing,Activewear,Zara,167.91,"Lawrence, Lara and Gonzalez",1,2023-04-03
179,Uniqlo Dresses Off,Clothing,Dresses,Uniqlo,138.77,Holland LLC,0,2024-10-07
180,Levi's Jeans Change,Clothing,Jeans,Levi's,757.73,Brown LLC,0,2024-04-10
181,Dove Personal Care Smile,Beauty,Personal Care,Dove,731.75,"Morse, Gonzales and Harrison",0,2023-08-28
182,Dell Tablets Scene,Electronics,Tablets,Dell,494.85,Bender-Mason,0,2024-01-22
183,KitchenAid Small Appliances Left,Home & Kitchen,Small Appliances,KitchenAid,126.43,George Group,0,2024-07-27
184,Under Armour Activewear Future,Clothing,Activewear,Under Armour,831.05,"Wright, Davis and Hayden",0,2024-10-14
185,Adidas Footwear Traditional,Sports,Footwear,Adidas,770.88,"Matthews, Smith and Hubbard",1,2024-10-03
186,Adidas Activewear Exist,Clothing,Activewear,Adidas,810.73,"Williams, Avila and Ruiz",1,2024-05-24
187,Cuisinart Decor Letter,Home & Kitchen,Decor,Cuisinart,79.94,White-Richards,0,2024-05-11
188,Macmillan Non-fiction Teach,Books,Non-fiction,Macmillan,348.61,Costa-Harrison,1,2023-11-17
189,Apple Cameras Goal,Electronics,Cameras,Apple,568.6,Santiago-Hodge,0,2023-09-17
190,Apple Smartphones Its,Electronics,Smartphones,Apple,284.27,"Simpson, Bates and Morales",1,2024-08-16
191,Adidas Sweaters Oil,Clothing,Sweaters,Adidas,100.28,Gibson LLC,1,2023-07-19
192,MAC Makeup Game,Beauty,Makeup,MAC,434.64,Cordova Group,1,2024-11-05
193,Cuisinart Decor My,Home & Kitchen,Decor,Cuisinart,863.8,Sandoval PLC,0,2023-12-28
194,HarperCollins Children Job,Books,Children,HarperCollins,356.12,Lopez LLC,0,2024-05-01
195,KitchenAid Small Appliances Something,Home & Kitchen,Small Appliances,KitchenAid,882.58,Garrett-Wolf,0,2023-06-11
196,Wayfair Cookware Example,Home & Kitchen,Cookware,Wayfair,52.59,"Anderson, Roberts and Gilmore",1,2024-01-15
197,Maybelline Makeup Campaign,Beauty,Makeup,Maybelline,701.89,Dudley PLC,1,2024-09-15
198,Penguin Non-fiction Education,Books,Non-fiction,Penguin,986.06,"Moore, Pierce and Tran",0,2023-03-17
199,Macmillan Business Down,Books,Business,Macmillan,712.81,Murray Inc,0,2024-05-21
200,Penguin Non-fiction There,Books,Non-fiction,Penguin,105.88,Jimenez Ltd,0,2023-08-18
201,Under Armour Activewear Mr,Clothing,Activewear,Under Armour,381.97,"Hill, Davenport and Baird",0,2023-07-12
202,Cuisinart Bedding Loss,Home & Kitchen,Bedding,Cuisinart,70.17,"Thomas, Lee and Greene",0,2024-08-05
203,Adidas Footwear Until,Sports,Footwear,Adidas,577.93,Shields LLC,1,2024-08-26
204,HarperCollins Non-fiction Strategy,Books,Non-fiction,HarperCollins,104.32,Morgan-French,0,2023-07-30
205,Ninja Storage Tend,Home & Kitchen,Storage,Ninja,425.65,Campbell LLC,0,2024-10-15
206,Adidas Apparel People,Sports,Apparel,Adidas,167.38,"Duarte, Burns and Hernandez",1,2024-02-26
207,Lenovo Smartphones Member,Electronics,Smartphones,Lenovo,231.25,Cook-Hines,1,2023-10-23
208,Adidas Accessories Lose,Sports,Accessories,Adidas,456.29,Kane-Pollard,1,2023-07-08
209,Random House Business Owner,Books,Business,Random House,966.14,Hall-Rowe,1,2023-02-06
210,Nike Apparel Friend,Sports,Apparel,Nike,431.41,"Kennedy, Mcintyre and James",0,2024-06-02
211,HP Tablets Structure,Electronics,Tablets,HP,622.84,"Pollard, Simpson and Johnson",1,2024-01-29
212,Macmillan Science Performance,Books,Science,Macmillan,492.29,Kane-Sawyer,1,2023-12-11
213,Puma Nutrition Black,Sports,Nutrition,Puma,268.32,"Lozano, Smith and Thomas",0,2024-11-10
214,Dove Personal Care Real,Beauty,Personal Care,Dove,466.75,Jones LLC,1,2023-09-23
215,Dell Tablets Price,Electronics,Tablets,Dell,585.42,"Sanders, Miller and Murphy",0,2024-06-10
216,Cuisinart Bedding Town,Home & Kitchen,Bedding,Cuisinart,842.94,"James, Stewart and Higgins",1,2024-08-15
217,H&M Jackets Method,Clothing,Jackets,H&M,812.76,"Johnson, Jones and Welch",0,2024-12-19
218,Ninja Bedding Field,Home & Kitchen,Bedding,Ninja,18.4,Francis Group,0,2023-03-21
219,Under Armour Footwear Soon,Sports,Footwear,Under Armour,440.7,"Padilla, Garcia and Jackson",0,2023-08-24
220,Macmillan Children Well,Books,Children,Macmillan,694.14,Williams Inc,0,2023-08-19
221,Under Armour T-shirts Her,Clothing,T-shirts,Under Armour,699.49,Jordan-Sanchez,1,2023-11-20
222,Wayfair Cookware Others,Home & Kitchen,Cookware,Wayfair,377.37,"Sparks, Jackson and Miller",1,2024-11-10
223,HomeDepot Cookware Idea,Home & Kitchen,Cookware,HomeDepot,973.84,"Vega, Jimenez and Aguilar",1,2023-07-03
224,LG Headphones Main,Electronics,Headphones,LG,650.63,"King, Scott and Smith",0,2024-09-19
225,Samsung Headphones Make,Electronics,Headphones,Samsung,637.04,Byrd-Moore,1,2023-12-13
226,MAC Skincare You,Beauty,Skincare,MAC,269.96,Huerta-Evans,1,2023-11-29
227,Macmillan Business Road,Books,Business,Macmillan,425.77,Bryant-Turner,0,2023-10-29
228,Penguin Non-fiction Tonight,Books,Non-fiction,Penguin,979.7,Rodriguez-James,1,2023-10-09
229,Apple Laptops Paper,Electronics,Laptops,Apple,855.52,Haney-Phillips,1,2024-10-09
230,MAC Makeup Reason,Beauty,Makeup,MAC,744.39,Hill-Knight,1,2024-06-19
231,HarperCollins Non-fiction Star,Books,Non-fiction,HarperCollins,789.06,"Beltran, Lozano and Mcgee",1,2024-10-11
232,Asus Laptops Well,Electronics,Laptops,Asus,252.33,Parsons-Hall,1,2024-09-17
233,Dell Headphones He,Electronics,Headphones,Dell,671.04,Fields PLC,0,2023-07-17
234,Uniqlo Jackets Resource,Clothing,Jackets,Uniqlo,62.67,"Saunders, Becker and Taylor",0,2023-03-20
235,Apple Smartphones Well,Electronics,Smartphones,Apple,413.87,"Lucas, Parker and Alexander",0,2024-03-29
236,Penguin Non-fiction His,Books,Non-fiction,Penguin,30.2,"Anderson, Browning and Murphy",1,2023-11-22
237,Penguin Business Continue,Books,Business,Penguin,840.07,Anderson PLC,1,2024-11-14
238,Under Armour Sweaters History,Clothing,Sweaters,Under Armour,58.14,"Shaw, Nelson and Martin",1,2024-12-13
239,Maybelline Skincare Thank,Beauty,Skincare,Maybelline,692.5,Coffey-Phillips,0,2024-11-10
240,Dell Tablets Ground,Electronics,Tablets,Dell,656.32,Mcdonald Inc,0,2023-04-23
241,Apple Cameras Somebody,Electronics,Cameras,Apple,235.24,Dalton Ltd,1,2024-06-10
242,Penguin Business Industry,Books,Business,Penguin,432.21,"Diaz, Gibbs and Smith",1,2024-02-24
243,New Balance Apparel Candidate,Sports,Apparel,New Balance,383.29,Richardson-Curry,1,2023-07-26
244,Samsung Smartphones Pattern,Electronics,Smartphones,Samsung,875.28,Carson-Bentley,0,2023-03-29
245,Maybelline Fragrances Republican,Beauty,Fragrances,Maybelline,50.19,Ruiz PLC,0,2024-11-20
246,Adidas Nutrition Yes,Sports,Nutrition,Adidas,842.07,"Murphy, Bishop and Holland",0,2024-05-11
247,Under Armour Sweaters Than,Clothing,Sweaters,Under Armour,719.1,Blankenship-Turner,1,2023-11-17
248,Random House Fiction But,Books,Fiction,Random House,97.33,Williams Inc,0,2023-08-28
249,Lenovo Headphones Mind,Electronics,Headphones,Lenovo,683.61,Davis PLC,1,2023-04-19
250,LG Cameras Important,Electronics,Cameras,LG,293.79,Watson-Avery,0,2024-06-27
251,Under Armour Nutrition Young,Sports,Nutrition,Under Armour,695.4,"Barnes, Newton and Moore",0,2023-11-22
252,Asus Cameras Real,Electronics,Cameras,Asus,349.56,Bass PLC,1,2023-11-16
253,Macmillan Children Wrong,Books,Children,Macmillan,124.7,Johnson-Wood,1,2023-12-14
254,Nike Accessories Light,Sports,Accessories,Nike,200.02,Foley Inc,0,2024-06-19
255,H&M Activewear Hold,Clothing,Activewear,H&M,899.76,"Winters, Newman and Brown",0,2023-08-06
256,Asus Tablets Customer,Electronics,Tablets,Asus,129.06,Rush Group,1,2023-03-16
257,Nike Shoes Recognize,Clothing,Shoes,Nike,342.07,May PLC,0,2023-01-20
258,Ninja Decor Apply,Home & Kitchen,Decor,Ninja,436.47,Sanchez-Martinez,0,2024-03-17
259,LG Tablets Describe,Electronics,Tablets,LG,728.23,Gallegos PLC,1,2023-06-13
260,New Balance Footwear Peace,Sports,Footwear,New Balance,158.53,Li and Sons,0,2023-09-16
261,HP Tablets Staff,Electronics,Tablets,HP,775.58,Kramer PLC,1,2023-01-06
262,Estee Lauder Personal Care Factor,Beauty,Personal Care,Estee Lauder,986.16,Huerta PLC,0,2023-07-17
